TERM,TERM_DESC,SUBJ,NUMB,class,CRN,INSTRUCTOR,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,P,N,OTHER,W,TOT_NON_W,atot,btot,ctot,dtot,ftot,tot,aprec,bprec,cprec,dprec,fprec,is_faculty
201302,Winter 2014,BI,426,BI426,27278,"Kelly, Alan James",0,5,5,6,5,0,0,1,0,0,0,0,0,0,0,0,0,22,10,11,1,0,0,22,45.45454545,50,4.545454545,0,0,0
201402,Winter 2015,BI,426,BI426,21089,"Kelly, Alan James",1,5,4,5,3,1,1,2,0,0,0,0,0,2,0,0,0,24,10,9,3,0,0,22,45.45454545,40.90909091,13.63636364,0,0,0
201502,Winter 2016,BI,426,BI426,21165,"Kelly, Alan James",1,5,5,4,6,1,0,1,1,0,0,0,0,1,0,0,2,25,11,11,2,0,0,24,45.83333333,45.83333333,8.333333333,0,0,0
201503,Spring 2016,BI,427,BI427,36100,"Westerfield, Monte",1,10,0,1,5,2,0,0,0,0,0,0,0,0,0,0,1,19,11,8,0,0,0,19,57.89473684,42.10526316,0,0,0,0
201303,Spring 2014,BI,428,BI428,39280,"Rader, Bethany Anne",1,3,6,3,1,1,0,0,0,0,0,0,0,1,0,0,0,16,10,5,0,0,0,15,66.66666667,33.33333333,0,0,0,0
201301,Fall 2013,BI,432,BI432,18062,"Stone, Jeffrey Kyle",0,8,3,0,7,0,0,1,0,0,0,0,0,0,0,0,0,19,11,7,1,0,0,19,57.89473684,36.84210526,5.263157895,0,0,0
201501,Fall 2015,BI,432,BI432,16884,"Stone, Jeffrey Kyle",1,6,8,0,2,1,0,1,0,0,0,0,0,0,0,0,0,19,15,3,1,0,0,19,78.94736842,15.78947368,5.263157895,0,0,0
201301,Fall 2013,BI,433,BI433,11995,"Guillemin, Karen Jeanne",1,6,4,4,0,1,1,1,0,0,0,0,0,0,0,0,2,18,11,5,2,0,0,18,61.11111111,27.77777778,11.11111111,0,0,0
201401,Fall 2014,BI,433,BI433,11170,"Guillemin, Karen Jeanne",0,5,8,4,3,2,1,1,0,0,0,0,0,0,0,0,0,24,13,9,2,0,0,24,54.16666667,37.5,8.333333333,0,0,0
201501,Fall 2015,BI,433,BI433,11078,"Guillemin, Karen Jeanne",0,5,7,4,1,4,1,0,0,0,0,0,0,0,0,0,0,22,12,9,1,0,0,22,54.54545455,40.90909091,4.545454545,0,0,0
201303,Spring 2014,BI,442,BI442,33685,"Policha, Tobias Joseph",1,3,1,3,8,1,2,2,2,0,0,0,0,0,1,0,0,24,5,12,6,0,0,23,21.73913043,52.17391304,26.08695652,0,0,0
201403,Spring 2015,BI,442,BI442,31043,"Policha, Tobias Joseph",1,6,1,1,7,2,1,2,0,0,0,0,0,1,0,0,1,22,8,10,3,0,0,21,38.0952381,47.61904762,14.28571429,0,0,0
201503,Spring 2016,BI,442,BI442,31083,"Policha, Tobias Joseph",4,2,1,1,5,1,1,6,0,0,1,0,1,0,0,0,0,23,7,7,7,1,1,23,30.43478261,30.43478261,30.43478261,4.347826087,4.347826087,0
201304,Summer 2014,BI,448,BI448,45962,"Holmes, Susan Elizabeth",1,4,3,4,5,1,3,0,0,0,0,0,0,0,0,0,0,21,8,10,3,0,0,21,38.0952381,47.61904762,14.28571429,0,0,0
201404,Summer 2015,BI,448,BI448,40399,"Holmes, Susan Elizabeth",1,5,3,1,4,2,1,4,4,0,0,0,0,0,0,0,0,25,9,7,9,0,0,25,36,28,36,0,0,0
201504,Summer 2016,BI,448,BI448,40372,"Holmes, Susan Elizabeth",0,9,5,2,4,1,0,0,0,0,0,0,0,0,0,0,1,21,14,7,0,0,0,21,66.66666667,33.33333333,0,0,0,0
201303,Spring 2014,BI,451,BI451,33686,"Trowbridge, Cynthia D.",0,3,3,2,4,1,0,1,1,0,0,0,0,0,0,0,0,15,6,7,2,0,0,15,40,46.66666667,13.33333333,0,0,0
201304,Summer 2014,BI,451,BI451,45963,"Baker, Patrick Kelly",4,3,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,0,0,0,14,78.57142857,21.42857143,0,0,0,0
201403,Spring 2015,BI,451,BI451,31044,"Emlet, Richard",0,5,2,2,5,1,0,2,0,0,0,0,0,0,0,0,0,17,7,8,2,0,0,17,41.17647059,47.05882353,11.76470588,0,0,0
201404,Summer 2015,BI,451,BI451,40400,"Nash, Troy Robert",0,7,0,1,7,0,1,3,1,0,0,0,0,0,0,0,0,20,7,8,5,0,0,20,35,40,25,0,0,0
201504,Summer 2016,BI,451,BI451,40373,"Baker, Patrick Kelly",3,8,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,19,14,5,0,0,0,19,73.68421053,26.31578947,0,0,0,0
201304,Summer 2014,BI,452,BI452,45964,"Scherr, Melissa A.",1,9,4,0,5,2,1,1,0,0,0,0,1,1,0,0,0,25,14,7,2,0,1,24,58.33333333,29.16666667,8.333333333,0,4.166666667,0
201404,Summer 2015,BI,452,BI452,40401,"Scherr, Melissa A.",0,7,5,0,6,2,0,3,1,0,0,0,0,0,0,0,0,24,12,8,4,0,0,24,50,33.33333333,16.66666667,0,0,0
201504,Summer 2016,BI,452,BI452,40374,"Schapker, Philip A.",2,5,6,1,4,1,2,0,0,0,0,0,0,0,0,0,1,21,13,6,2,0,0,21,61.9047619,28.57142857,9.523809524,0,0,0
201501,Fall 2015,BI,454,BI454,11079,"Emlet, Richard",0,3,3,6,4,1,1,1,0,0,0,0,0,0,0,0,0,19,6,11,2,0,0,19,31.57894737,57.89473684,10.52631579,0,0,0
201304,Summer 2014,BI,455,BI455,45965,"Warrick, Douglas R.",0,7,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,1,0,0,0,13,92.30769231,7.692307692,0,0,0,0
201404,Summer 2015,BI,455,BI455,40402,"Hodder, Janet",0,3,0,1,5,3,2,0,1,1,0,0,0,0,0,0,0,16,3,9,3,1,0,16,18.75,56.25,18.75,6.25,0,0
201301,Fall 2013,BI,457,BI457,11997,"Eberl, Renate",0,2,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,13,5,8,0,0,0,13,38.46153846,61.53846154,0,0,0,0
201301,Fall 2013,BI,457,BI457,11998,"Hiebert, Terra Celeste",1,4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,11,7,4,0,0,0,11,63.63636364,36.36363636,0,0,0,0
201303,Spring 2014,BI,457,BI457,33688,"Young, Craig M.",0,3,4,6,0,2,0,0,0,0,0,0,0,0,0,0,0,15,7,8,0,0,0,15,46.66666667,53.33333333,0,0,0,0
201401,Fall 2014,BI,457,BI457,11171,"Hodder, Janet",0,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,4,0,0,0,11,63.63636364,36.36363636,0,0,0,0
201403,Spring 2015,BI,457,BI457,31045,"von Dassow, George RH",4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,10,100,0,0,0,0,0
201403,Spring 2015,BI,457,BI457,31046,"Young, Craig M.",2,4,2,0,1,5,1,0,0,0,0,0,0,0,0,0,0,15,8,6,1,0,0,15,53.33333333,40,6.666666667,0,0,0
201404,Summer 2015,BI,457,BI457,40403,"Oldfield, Ronald G.",3,11,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,22,17,5,0,0,0,22,77.27272727,22.72727273,0,0,0,0
201501,Fall 2015,BI,457,BI457,11080,"Hodder, Janet",0,4,5,2,4,1,0,0,0,0,0,0,0,0,0,0,0,16,9,7,0,0,0,16,56.25,43.75,0,0,0,0
201501,Fall 2015,BI,457,BI457,17193,"Maslakova, Svetlana Andreevna",1,2,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,10,5,4,1,0,0,10,50,40,10,0,0,0
201503,Spring 2016,BI,457,BI457,31085,"Maslakova, Svetlana Andreevna",3,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,10,7,2,1,0,0,10,70,20,10,0,0,0
201504,Summer 2016,BI,457,BI457,40376,"Cziko, Paul Andrew",0,1,4,6,2,0,1,0,0,0,0,0,0,0,0,0,0,14,5,8,1,0,0,14,35.71428571,57.14285714,7.142857143,0,0,0
201301,Fall 2013,BI,458,BI458,11999,"Shanks, Alan",0,4,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,15,8,6,1,0,0,15,53.33333333,40,6.666666667,0,0,0
201401,Fall 2014,BI,458,BI458,11173,"Shanks, Alan",0,2,5,0,1,2,1,0,0,0,0,0,0,0,0,0,0,11,7,3,1,0,0,11,63.63636364,27.27272727,9.090909091,0,0,0
201501,Fall 2015,BI,458,BI458,11081,"Shanks, Alan",0,0,5,2,3,1,0,0,0,0,0,0,0,0,0,0,0,11,5,6,0,0,0,11,45.45454545,54.54545455,0,0,0,0
201302,Winter 2014,BI,461,BI461,22386,"Takahashi, Terry",9,9,2,6,2,1,3,2,0,0,0,0,0,0,0,0,0,34,20,9,5,0,0,34,58.82352941,26.47058824,14.70588235,0,0,0
201401,Fall 2014,BI,461,BI461,16286,"Singh, Avinash Deep Bala",2,3,1,4,0,0,0,1,1,0,0,2,1,1,0,0,1,16,6,4,2,2,1,15,40,26.66666667,13.33333333,13.33333333,6.666666667,0
201501,Fall 2015,BI,461,BI461,11082,"Singh, Avinash Deep Bala",2,0,2,4,4,2,2,1,0,0,0,0,0,0,1,0,1,18,4,10,3,0,0,17,23.52941176,58.82352941,17.64705882,0,0,0
201403,Spring 2015,BI,463,BI463,36396,"Keller, Clifford H.",0,7,1,4,2,1,1,4,0,0,0,0,0,0,0,0,1,20,8,7,5,0,0,20,40,35,25,0,0,0
201503,Spring 2016,BI,463,BI463,36568,"Keller, Clifford H.",1,3,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,11,5,2,4,0,0,11,45.45454545,18.18181818,36.36363636,0,0,0
201302,Winter 2014,BI,466,BI466,27280,"Eisen, Judith",0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,10,5,5,0,0,0,10,50,50,0,0,0,0
201304,Summer 2014,BI,468,BI468,45968,"Titus, Tom Alan",0,12,9,1,4,1,0,0,0,0,0,0,0,0,0,0,0,27,21,6,0,0,0,27,77.77777778,22.22222222,0,0,0,0
201404,Summer 2015,BI,468,BI468,40404,"Titus, Tom Alan",2,8,2,4,6,0,1,0,0,0,0,0,0,0,0,0,0,23,12,10,1,0,0,23,52.17391304,43.47826087,4.347826087,0,0,0
201504,Summer 2016,BI,468,BI468,40377,"Titus, Tom Alan",1,3,4,0,6,1,1,3,1,0,0,0,1,0,0,0,0,21,8,7,5,0,1,21,38.0952381,33.33333333,23.80952381,0,4.761904762,0
201503,Spring 2016,BI,471,BI471,36102,"Green, Jessica Lee",3,5,1,3,1,2,0,0,0,0,0,0,0,0,0,0,1,15,9,6,0,0,0,15,60,40,0,0,0,0
