TERM,TERM_DESC,SUBJ,NUMB,class,CRN,INSTRUCTOR,AP,A,AM,BP,B,BM,CP,C,CM,DP,D,DM,F,P,N,OTHER,W,TOT_NON_W,atot,btot,ctot,dtot,ftot,tot,aprec,bprec,cprec,dprec,fprec
201303,Spring 2014,AAD,315,AAD315,39304,"Kau, Darrel Lee",0,16,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,23,22,1,0,0,0,23,95.65217391,4.347826087,0,0,0
201403,Spring 2015,AAD,315,AAD315,30043,"Kau, Darrel Lee",0,13,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19,18,0,1,0,0,19,94.73684211,0,5.263157895,0,0
201503,Spring 2016,AAD,315,AAD315,30055,"Kau, Darrel Lee",0,10,1,0,5,0,0,0,0,0,0,0,0,0,0,0,2,16,11,5,0,0,0,16,68.75,31.25,0,0,0
201403,Spring 2015,AAD,421,AAD421,36192,"Fenn, John B.",0,4,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,8,3,0,0,0,11,72.72727273,27.27272727,0,0,0
201301,Fall 2013,AAD,430,AAD430,18026,"Ballard, Catherine Marie",0,7,4,4,0,0,1,0,1,0,0,0,0,1,0,0,2,18,11,4,2,0,0,17,64.70588235,23.52941176,11.76470588,0,0
201302,Winter 2014,AAD,430,AAD430,21416,"Abia-Smith, Lisa Marie",0,23,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1,33,32,0,1,0,0,33,96.96969697,0,3.03030303,0,0
201302,Winter 2014,AAD,430,AAD430,28565,"Ballard, Catherine Marie",0,0,7,3,1,0,0,1,0,0,0,0,0,2,0,0,0,14,7,4,1,0,0,12,58.33333333,33.33333333,8.333333333,0,0
201303,Spring 2014,AAD,430,AAD430,38512,"Ballard, Catherine Marie",0,5,6,4,4,5,2,2,2,0,0,0,0,0,0,1,8,31,11,13,6,0,0,30,36.66666667,43.33333333,20,0,0
201303,Spring 2014,AAD,430,AAD430,39708,"Ballard, Catherine Marie",0,3,9,2,5,4,1,2,0,0,0,0,0,0,0,0,0,26,12,11,3,0,0,26,46.15384615,42.30769231,11.53846154,0,0
201304,Summer 2014,AAD,430,AAD430,47965,"Ballard, Catherine Marie",0,7,5,6,6,0,2,0,0,0,2,0,1,1,0,2,0,32,12,12,2,2,1,29,41.37931034,41.37931034,6.896551724,6.896551724,3.448275862
201401,Fall 2014,AAD,430,AAD430,17046,"Ballard, Catherine Marie",0,5,5,1,4,1,0,0,0,0,0,0,0,1,0,0,2,17,10,6,0,0,0,16,62.5,37.5,0,0,0
201402,Winter 2015,AAD,430,AAD430,26319,"Ballard, Catherine Marie",0,2,4,3,1,3,0,0,0,0,0,0,0,0,0,1,1,14,6,7,0,0,0,13,46.15384615,53.84615385,0,0,0
201403,Spring 2015,AAD,430,AAD430,36005,"Ballard, Catherine Marie",0,9,8,4,6,1,1,0,0,0,1,0,0,1,0,0,4,31,17,11,1,1,0,30,56.66666667,36.66666667,3.333333333,3.333333333,0
201404,Summer 2015,AAD,430,AAD430,42397,"Ballard, Catherine Marie",0,15,11,2,0,1,0,1,0,0,0,0,0,0,0,0,3,30,26,3,1,0,0,30,86.66666667,10,3.333333333,0,0
201501,Fall 2015,AAD,430,AAD430,17066,"Ballard, Catherine Marie",0,9,2,2,5,0,0,1,0,0,0,0,0,1,0,0,0,20,11,7,1,0,0,19,57.89473684,36.84210526,5.263157895,0,0
201502,Winter 2016,AAD,430,AAD430,26142,"Ballard, Catherine Marie",0,11,7,3,1,0,0,0,0,0,0,0,0,0,0,0,1,22,18,4,0,0,0,22,81.81818182,18.18181818,0,0,0
201503,Spring 2016,AAD,430,AAD430,30066,"Ballard, Catherine Marie",0,5,8,9,3,2,0,0,0,0,0,0,2,0,0,0,2,29,13,14,0,0,2,29,44.82758621,48.27586207,0,0,6.896551724
201504,Summer 2016,AAD,430,AAD430,42141,"Ballard, Catherine Marie",0,3,5,7,1,3,3,0,0,0,1,0,0,1,0,1,1,25,8,11,3,1,0,23,34.7826087,47.82608696,13.04347826,4.347826087,0
201402,Winter 2015,AAD,510,AAD510,27258,"Erlandson, Jon",2,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,10,7,3,0,0,0,10,70,30,0,0,0
201401,Fall 2014,AAD,550,AAD550,10154,"Fenn, John B.",0,18,1,6,3,0,1,0,0,0,0,0,0,0,0,0,1,29,19,9,1,0,0,29,65.51724138,31.03448276,3.448275862,0,0
201303,Spring 2014,AAD,607,AAD607,39490,"Fenn, John B.",0,7,3,2,5,1,0,0,0,0,0,0,0,0,0,0,3,18,10,8,0,0,0,18,55.55555556,44.44444444,0,0,0
201401,Fall 2014,AAD,610,AAD610,10162,"Schiff, Eric Jon",0,16,0,1,2,0,0,0,0,0,1,0,1,0,0,1,1,22,16,3,0,1,1,21,76.19047619,14.28571429,0,4.761904762,4.761904762
201402,Winter 2015,AAD,610,AAD610,20071,"Kau, Darrel Lee",0,13,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,19,16,2,0,0,0,18,88.88888889,11.11111111,0,0,0
201301,Fall 2013,AAD,612,AAD612,10993,"Livingstone, Phaedra",0,12,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,2,0,0,0,22,90.90909091,9.090909091,0,0,0
201401,Fall 2014,AAD,612,AAD612,10163,"Dewey, Patricia M.",0,4,10,5,1,0,0,1,1,1,0,0,0,0,0,0,0,23,14,6,2,1,0,23,60.86956522,26.08695652,8.695652174,4.347826087,0
201501,Fall 2015,AAD,612,AAD612,10075,"Rinaldi, Tina Marie",0,7,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,19,14,5,0,0,0,19,73.68421053,26.31578947,0,0,0
201302,Winter 2014,AAD,630,AAD630,21433,"Livingstone, Phaedra",0,11,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,18,16,2,0,0,0,18,88.88888889,11.11111111,0,0,0
201402,Winter 2015,AAD,630,AAD630,20072,"Fenn, John B.",0,9,2,1,5,0,0,0,0,0,0,0,0,0,0,2,1,19,11,6,0,0,0,17,64.70588235,35.29411765,0,0,0
201301,Fall 2013,ACTG,211,ACTG211,10995,"Cutler, Joshua Derek",3,4,1,7,8,8,2,10,2,0,1,0,1,2,7,0,5,56,8,23,14,1,1,47,17.0212766,48.93617021,29.78723404,2.127659574,2.127659574
201301,Fall 2013,ACTG,211,ACTG211,10996,"Brandt, Peter M.",5,0,5,5,8,4,9,8,5,0,0,1,1,2,5,0,2,58,10,17,22,1,1,51,19.60784314,33.33333333,43.1372549,1.960784314,1.960784314
201301,Fall 2013,ACTG,211,ACTG211,10997,"Sneed, Joel Jerome",1,1,5,3,4,6,14,4,6,0,2,0,1,2,4,0,3,53,7,13,24,2,1,47,14.89361702,27.65957447,51.06382979,4.255319149,2.127659574
